,train_result,test_result,training_time,test_time,k
0,1.0,0.8555,29698,1313,1
1,0.9918,0.8372,29711,87512,2
2,0.9899,0.8527,30106,95581,3
3,0.9861,0.8525,31352,102577,4
4,0.9844,0.8642,31173,103154,5
5,0.9821,0.8555,31425,105383,6
6,0.9807,0.8422,31921,107740,7
7,0.9804,0.858,31406,107829,8
8,0.9774,0.8487,32039,110350,9
9,0.9776,0.8607,32233,111652,10
10,0.9773,0.8477,32740,114632,11
11,0.9741,0.8525,32891,115030,12
12,0.975,0.846,32723,115219,13
13,0.9736,0.8415,32631,114917,14
14,0.9733,0.8417,32687,116431,15
15,0.9729,0.846,33079,118073,16
16,0.9725,0.8472,33429,119623,17
17,0.9719,0.8455,33318,121395,18
18,0.9705,0.8442,33351,119681,19
19,0.9706,0.8502,33599,120406,20
20,0.9698,0.842,33393,121232,21
21,0.9682,0.8512,33144,120929,22
22,0.9687,0.8367,33543,121323,23
23,0.9682,0.8395,32948,119143,24
24,0.9671,0.8512,33448,123053,25
25,0.9669,0.8357,34068,124833,26
26,0.9661,0.8302,33941,122993,27
27,0.9662,0.8422,33914,124460,28
28,0.9656,0.8312,34033,125036,29
29,0.9642,0.8372,34115,126413,30
30,0.9634,0.8242,33854,125149,31
31,0.9649,0.8335,33968,126068,32
32,0.9626,0.8332,33949,125335,33
33,0.9632,0.839,34222,126783,34
34,0.9627,0.8482,34525,128083,35
35,0.9626,0.8297,34396,127948,36
36,0.9613,0.8307,35332,130430,37
37,0.9613,0.8297,34359,129425,38
38,0.9622,0.8317,33974,125617,39
39,0.959,0.8267,34108,127027,40
40,0.9608,0.8435,34290,128843,41
41,0.96,0.8292,34191,127453,42
42,0.9606,0.8312,34347,128518,43
43,0.9599,0.8262,34269,128640,44
44,0.9592,0.837,34855,128937,45
45,0.9584,0.8295,34067,130162,46
46,0.9582,0.8245,34036,128582,47
47,0.9572,0.8307,33743,126940,48
48,0.9567,0.8195,34017,127755,49
49,0.9582,0.8105,34016,128647,50
50,0.9571,0.8232,33834,128411,51
51,0.9563,0.8215,34097,128002,52
52,0.9568,0.824,33888,127942,53
53,0.9555,0.8245,33844,127853,54
54,0.9564,0.816,33932,127999,55
55,0.9556,0.8272,34144,129811,56
56,0.955,0.8257,33859,129185,57
57,0.9545,0.825,34502,129573,58
58,0.9554,0.8132,34101,129498,59
59,0.9541,0.8132,34356,130312,60
60,0.9534,0.8167,34310,130376,61
61,0.9539,0.8147,34532,130448,62
62,0.9526,0.8115,34168,129060,63
63,0.9523,0.8242,34209,130274,64
64,0.9525,0.815,34288,130686,65
65,0.952,0.8232,34323,129984,66
66,0.9527,0.8132,34495,131998,67
67,0.9517,0.8077,34327,130587,68
68,0.9531,0.8185,34443,130986,69
69,0.9513,0.8237,34376,131420,70
70,0.9516,0.818,34512,131757,71
71,0.9522,0.8137,34311,130574,72
72,0.9493,0.8125,34545,132437,73
73,0.9503,0.8107,34713,134433,74
74,0.9501,0.8102,34636,132115,75
75,0.95,0.8185,34838,133207,76
76,0.9492,0.812,34310,131801,77
77,0.951,0.8007,34609,132937,78
78,0.9494,0.8097,34667,134480,79
79,0.9496,0.8152,34760,134066,80
80,0.9492,0.8045,34615,133825,81
81,0.9484,0.805,34536,132187,82
82,0.9481,0.8045,34845,133868,83
83,0.9469,0.8042,34465,132733,84
84,0.9492,0.816,34669,134475,85
85,0.9476,0.7974,34931,134584,86
86,0.9473,0.8002,34646,133689,87
87,0.9474,0.8005,34511,133592,88
88,0.9458,0.819,34904,134116,89
89,0.9459,0.7984,34856,133500,90
90,0.9456,0.8007,34965,134331,91
91,0.947,0.8085,34670,133417,92
92,0.9449,0.8047,34745,135078,93
93,0.9464,0.7989,35091,134532,94
94,0.9455,0.7999,34963,135156,95
95,0.9452,0.7997,34664,135094,96
96,0.9449,0.7954,35085,135043,97
97,0.9454,0.7927,34917,135062,98
98,0.9421,0.8037,34849,134933,99
99,0.9435,0.7934,34801,135090,100
