,train_result,test_result,training_time,test_time,k
0,1.0,0.9962,834,248,1
1,0.9969,0.995,872,3246,2
2,0.9975,0.9937,858,3269,3
3,0.9956,0.9987,979,3750,4
4,0.9969,0.995,1119,4102,5
5,0.9959,0.9962,963,3965,6
6,0.9966,0.9925,1136,4086,7
7,0.9947,0.9962,983,3928,8
8,0.9953,0.9937,982,3771,9
9,0.995,0.9937,1063,4139,10
10,0.9959,0.9862,1078,4141,11
11,0.9938,0.995,1046,4041,12
12,0.9944,0.99,1032,4197,13
13,0.9941,0.9925,1047,4033,14
14,0.995,0.9887,1049,4206,15
15,0.9931,0.9925,1051,4185,16
16,0.9928,0.9912,984,4160,17
17,0.9928,0.995,1006,3965,18
18,0.9938,0.99,1060,4131,19
19,0.9925,0.9937,977,4064,20
20,0.9906,0.9975,1127,4220,21
21,0.9934,0.9912,1052,4199,22
22,0.9941,0.985,1062,4667,23
23,0.9925,0.9862,1162,4477,24
24,0.9928,0.99,1052,4480,25
25,0.99,0.9925,1190,4584,26
26,0.9934,0.9875,1168,4922,27
27,0.9891,0.995,1115,4426,28
28,0.99,0.995,1070,4335,29
29,0.9912,0.9887,1080,4358,30
30,0.9906,0.99,1013,4648,31
31,0.9903,0.9837,1110,4627,32
32,0.9909,0.9887,1132,4432,33
33,0.9897,0.9887,1036,4414,34
34,0.9894,0.9912,1169,4649,35
35,0.9888,0.99,1185,4403,36
36,0.9894,0.9887,1109,4571,37
37,0.9878,0.9925,1067,4385,38
38,0.9881,0.985,1078,4284,39
39,0.9872,0.99,1077,4198,40
40,0.9884,0.9862,1350,4929,41
41,0.9881,0.9887,1108,4489,42
42,0.9884,0.985,1085,4277,43
43,0.9881,0.98,1164,4619,44
44,0.9862,0.99,1167,4620,45
45,0.9875,0.985,1191,4792,46
46,0.9869,0.9875,1070,4217,47
47,0.9866,0.985,1237,4635,48
48,0.9862,0.9912,1261,4352,49
49,0.9841,0.9925,1133,5007,50
50,0.9878,0.98,1155,4457,51
51,0.9844,0.9887,1190,5051,52
52,0.9869,0.9787,1099,4509,53
53,0.9862,0.98,1101,4824,54
54,0.9856,0.9912,1069,4228,55
55,0.9866,0.9787,1262,5128,56
56,0.9856,0.9812,1134,4523,57
57,0.9853,0.9812,1172,4621,58
58,0.9844,0.9862,1158,4510,59
59,0.9834,0.9875,1093,4558,60
60,0.9862,0.9787,1464,4612,61
61,0.9844,0.9837,1114,4475,62
62,0.9853,0.98,1102,4427,63
63,0.985,0.985,1149,4374,64
64,0.9847,0.9837,1100,4427,65
65,0.9853,0.9812,1128,4485,66
66,0.9844,0.9787,1174,4683,67
67,0.9847,0.9837,1132,4479,68
68,0.9844,0.975,1113,4511,69
69,0.9844,0.9812,1146,4468,70
70,0.9831,0.985,1179,4775,71
71,0.9828,0.985,1170,4807,72
72,0.9831,0.9825,1184,4891,73
73,0.9847,0.9775,1158,4679,74
74,0.9838,0.9762,1180,4632,75
75,0.9862,0.9712,1211,4692,76
76,0.9831,0.9775,1143,4722,77
77,0.9828,0.98,1166,4685,78
78,0.9809,0.9862,1198,4619,79
79,0.9812,0.9837,1136,4532,80
80,0.9825,0.9762,1234,4626,81
81,0.9825,0.9825,1149,5001,82
82,0.9806,0.9875,1130,4513,83
83,0.9803,0.985,1127,4955,84
84,0.9828,0.9837,1186,4683,85
85,0.9812,0.9875,1209,4838,86
86,0.9803,0.9837,1184,4620,87
87,0.9822,0.9775,1121,4493,88
88,0.9816,0.98,1129,4697,89
89,0.9816,0.9837,1159,4668,90
90,0.9828,0.98,1133,4788,91
91,0.9819,0.9762,1145,4520,92
92,0.9803,0.9837,1185,5017,93
93,0.9819,0.9787,1147,4560,94
94,0.98,0.985,1119,4478,95
95,0.9812,0.9837,1128,4554,96
96,0.98,0.98,1111,4476,97
97,0.9822,0.975,1155,4544,98
98,0.9806,0.9775,1147,4465,99
